Date,Open,High,Low,Close
1/6/2014 22:00:00,1.35927,1.36531,1.35713,1.36278
1/7/2014 22:00:00,1.36285,1.36563,1.35967,1.36151
1/8/2014 22:00:00,1.36165,1.36351,1.35533,1.35754
1/9/2014 22:00:00,1.35755,1.3633,1.35483,1.36083
1/12/2014 22:00:00,1.3608,1.36871,1.35726,1.3667
1/13/2014 22:00:00,1.36738,1.36846,1.36374,1.36709
1/14/2014 22:00:00,1.36701,1.36993,1.36492,1.36787
1/15/2014 22:00:00,1.36779,1.36808,1.35812,1.36047
1/16/2014 22:00:00,1.36045,1.36495,1.3583,1.36193
1/19/2014 22:00:00,1.36186,1.3621,1.35169,1.35406
1/20/2014 22:00:00,1.35353,1.35678,1.35075,1.35513
1/21/2014 22:00:00,1.35577,1.35691,1.35165,1.35606
1/22/2014 22:00:00,1.35606,1.35837,1.35346,1.35474
1/23/2014 22:00:00,1.35463,1.36982,1.35304,1.36964
1/26/2014 22:00:00,1.36941,1.37396,1.36627,1.36747
1/27/2014 22:00:00,1.36761,1.37165,1.36531,1.36726
1/28/2014 22:00:00,1.36741,1.36884,1.36289,1.36707
1/29/2014 22:00:00,1.36685,1.36847,1.36031,1.36631
1/30/2014 22:00:00,1.36618,1.36653,1.35435,1.35546
2/2/2014 22:00:00,1.35544,1.35734,1.34791,1.34852
2/3/2014 22:00:00,1.34827,1.35356,1.34771,1.35247
2/4/2014 22:00:00,1.35276,1.35386,1.34934,1.35181
2/5/2014 22:00:00,1.3518,1.35554,1.34987,1.35332
2/6/2014 22:00:00,1.35327,1.36188,1.34829,1.35897
2/9/2014 22:00:00,1.35902,1.36431,1.35518,1.36349
2/10/2014 22:00:00,1.3617,1.36515,1.3617,1.36448
2/11/2014 22:00:00,1.36437,1.36831,1.36293,1.36379
2/12/2014 22:00:00,1.36374,1.36527,1.35621,1.3593
2/13/2014 22:00:00,1.35942,1.3692,1.3585,1.36793
2/16/2014 22:00:00,1.36802,1.37147,1.36736,1.3692
2/17/2014 22:00:00,1.37081,1.37242,1.36921,1.37062
2/18/2014 22:00:00,1.37067,1.37702,1.36945,1.37578
2/19/2014 22:00:00,1.37577,1.37732,1.37244,1.37329
2/20/2014 22:00:00,1.37361,1.37624,1.36859,1.37184
2/23/2014 22:00:00,1.37183,1.37585,1.37019,1.37388
2/24/2014 22:00:00,1.37344,1.37714,1.37083,1.37346
2/25/2014 22:00:00,1.37338,1.3767,1.37153,1.37449
2/26/2014 22:00:00,1.37452,1.37573,1.36616,1.36864
2/27/2014 22:00:00,1.3686,1.37268,1.36432,1.37098
3/2/2014 22:00:00,1.37094,1.38245,1.36941,1.38018
3/3/2014 22:00:00,1.37676,1.37926,1.37262,1.37345
3/4/2014 22:00:00,1.37353,1.37815,1.37205,1.37431
3/5/2014 22:00:00,1.37417,1.37494,1.37074,1.3733
3/6/2014 22:00:00,1.37334,1.38728,1.37212,1.38606
3/9/2014 21:00:00,1.38608,1.39151,1.38521,1.38757
3/10/2014 21:00:00,1.3875,1.38978,1.38615,1.38762
3/11/2014 21:00:00,1.38759,1.38788,1.38337,1.38598
3/12/2014 21:00:00,1.38596,1.39143,1.38435,1.39032
3/13/2014 21:00:00,1.39033,1.39668,1.38455,1.38687
3/16/2014 21:00:00,1.38661,1.39375,1.38475,1.39107
3/17/2014 21:00:00,1.39115,1.39476,1.38791,1.39218
3/18/2014 21:00:00,1.39232,1.39426,1.38796,1.3934
3/19/2014 21:00:00,1.39304,1.39343,1.38097,1.38325
3/20/2014 21:00:00,1.38276,1.3845,1.37492,1.37781
3/23/2014 21:00:00,1.37788,1.38108,1.37656,1.37924
3/24/2014 21:00:00,1.37946,1.38758,1.37603,1.38387
3/25/2014 21:00:00,1.38376,1.38469,1.37493,1.38263
3/26/2014 21:00:00,1.38247,1.38276,1.37764,1.37802
3/27/2014 21:00:00,1.37788,1.37968,1.37287,1.37403
3/30/2014 21:00:00,1.37404,1.3773,1.37048,1.37521
3/31/2014 21:00:00,1.37615,1.38087,1.37217,1.37692
4/1/2014 21:00:00,1.37686,1.38155,1.37686,1.37926
4/2/2014 21:00:00,1.37927,1.38202,1.37531,1.37669
4/3/2014 21:00:00,1.37671,1.38067,1.36981,1.37199
4/6/2014 21:00:00,1.37194,1.37313,1.36727,1.37026
4/7/2014 21:00:00,1.36988,1.37486,1.36899,1.37416
4/8/2014 21:00:00,1.37407,1.38115,1.37373,1.37968
4/9/2014 21:00:00,1.37956,1.38621,1.37798,1.38551
4/10/2014 21:00:00,1.3855,1.38992,1.38359,1.38859
4/13/2014 21:00:00,1.38861,1.39056,1.38633,1.38844
4/14/2014 21:00:00,1.38552,1.38629,1.38081,1.38208
4/15/2014 21:00:00,1.38204,1.38332,1.379,1.38142
4/16/2014 21:00:00,1.38143,1.38509,1.38037,1.38154
4/17/2014 21:00:00,1.38153,1.38644,1.38111,1.38134
4/20/2014 21:00:00,1.38151,1.38223,1.38067,1.3807
4/21/2014 21:00:00,1.38149,1.38306,1.3787,1.37929
4/22/2014 21:00:00,1.37938,1.38248,1.3785,1.38049
4/23/2014 21:00:00,1.38048,1.38547,1.38003,1.38165
4/24/2014 21:00:00,1.38166,1.38426,1.37914,1.38313
4/27/2014 21:00:00,1.38311,1.38482,1.38268,1.38333
4/28/2014 21:00:00,1.38433,1.38794,1.38147,1.38506
4/29/2014 21:00:00,1.38512,1.38791,1.38056,1.38117
4/30/2014 21:00:00,1.38121,1.38766,1.37741,1.38669
5/1/2014 21:00:00,1.38661,1.38891,1.38628,1.3869
5/2/2014 21:00:00,1.38691,1.38815,1.38121,1.3869
5/4/2014 21:00:00,1.38691,1.38691,1.38691,1.38691
5/5/2014 21:00:00,1.38823,1.38861,1.38644,1.38745
5/6/2014 21:00:00,1.38747,1.39512,1.3872,1.39271
5/7/2014 21:00:00,1.39276,1.39385,1.391,1.39101
5/8/2014 21:00:00,1.39099,1.39934,1.3833,1.38395
5/11/2014 21:00:00,1.3839,1.38443,1.37453,1.37578
5/12/2014 21:00:00,1.37556,1.37747,1.37493,1.37571
5/13/2014 21:00:00,1.37572,1.37715,1.36891,1.37029
5/14/2014 21:00:00,1.37012,1.37308,1.36979,1.37139
5/15/2014 21:00:00,1.37127,1.37326,1.36484,1.37093
5/16/2014 21:00:00,1.37091,1.3727,1.36853,1.36935
5/18/2014 21:00:00,1.36938,1.36938,1.36938,1.36938
5/19/2014 21:00:00,1.36951,1.37342,1.36948,1.37086
5/20/2014 21:00:00,1.37085,1.37137,1.3678,1.37009
5/21/2014 21:00:00,1.37011,1.37233,1.36344,1.36866
5/22/2014 21:00:00,1.36864,1.36876,1.36452,1.36555
5/25/2014 21:00:00,1.36556,1.36588,1.36156,1.36279
5/26/2014 21:00:00,1.36191,1.36543,1.36155,1.36454
5/27/2014 21:00:00,1.36454,1.36685,1.36126,1.36335
5/28/2014 21:00:00,1.36339,1.36377,1.35885,1.35907
5/29/2014 21:00:00,1.35915,1.36257,1.35861,1.36015
6/1/2014 21:00:00,1.36014,1.36503,1.35984,1.3633
6/2/2014 21:00:00,1.36351,1.36361,1.35882,1.35964
6/3/2014 21:00:00,1.35968,1.36479,1.35856,1.36273
6/4/2014 21:00:00,1.36277,1.36391,1.35964,1.35985
6/5/2014 21:00:00,1.35985,1.36698,1.35031,1.36602
